Timestamp,B0S0X,B0S0Y,B0S0Z,B0S1X,B0S1Y,B0S1Z,B0S2X,B0S2Y,B0S2Z,B0S3X,B0S3Y,B0S3Z,B0S4X,B0S4Y,B0S4Z,B1S0X,B1S0Y,B1S0Z,B1S1X,B1S1Y,B1S1Z,B1S2X,B1S2Y,B1S2Z,B1S3X,B1S3Y,B1S3Z,B1S4X,B1S4Y,B1S4Z,B2S0X,B2S0Y,B2S0Z,B2S1X,B2S1Y,B2S1Z,B2S2X,B2S2Y,B2S2Z,B2S3X,B2S3Y,B2S3Z,B2S4X,B2S4Y,B2S4Z,B3S0X,B3S0Y,B3S0Z,B3S1X,B3S1Y,B3S1Z,B3S2X,B3S2Y,B3S2Z,B3S3X,B3S3Y,B3S3Z,B3S4X,B3S4Y,B3S4Z,B4S0X,B4S0Y,B4S0Z,B4S1X,B4S1Y,B4S1Z,B4S2X,B4S2Y,B4S2Z,B4S3X,B4S3Y,B4S3Z,B4S4X,B4S4Y,B4S4Z,B5S0X,B5S0Y,B5S0Z,B5S1X,B5S1Y,B5S1Z,B5S2X,B5S2Y,B5S2Z,B5S3X,B5S3Y,B5S3Z,B5S4X,B5S4Y,B5S4Z,B6S0X,B6S0Y,B6S0Z,B6S1X,B6S1Y,B6S1Z,B6S2X,B6S2Y,B6S2Z,B6S3X,B6S3Y,B6S3Z,B6S4X,B6S4Y,B6S4Z,B7S0X,B7S0Y,B7S0Z,B7S1X,B7S1Y,B7S1Z,B7S2X,B7S2Y,B7S2Z,B7S3X,B7S3Y,B7S3Z,B7S4X,B7S4Y,B7S4Z
15:06:59.491952,-1351.05,14.7,-176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:06:59.515668,-1355.1,12.0,-1758.13,58.8,-4.5,-538.21,249.0,-790.05,-1338.02,1986.45,3968.7,-4808.3,-574.05,219.45,-1036.97,2113.5,-483.15,-144.47,2845.05,-3942.15,-1429.25,3008.7,-723.0,1167.65,-3673.35,435.3,5829.3,-2425.35,654.15,-730.6,1463.7,-125.1,428.34,-245.4,-50.55,185.86,-618.3,754.5,679.54,-4065.45,-84.0,-4969.23,440.1,-787.5,38.96,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:06:59.788078,-1356.6,15.3,-1753.53,52.35,-7.95,-547.65,244.8,-791.1,-1347.7,1987.35,3970.95,-4811.93,-571.95,213.6,-1043.02,2107.35,-492.6,-143.02,2841.3,-3934.5,-1429.98,3002.25,-719.4,1157.24,-3668.55,434.85,5823.25,-2427.6,653.7,-729.39,1461.6,-127.8,428.34,-248.7,-48.6,183.19,-617.7,761.4,680.75,-4070.4,-93.9,-4972.62,438.45,-785.85,46.71,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:07:00.132708,-1355.85,12.6,-1749.42,54.0,-5.55,-540.14,247.5,-788.25,-1335.11,1986.6,3979.95,-4815.56,-566.55,220.95,-1044.47,2108.7,-488.4,-149.8,2842.5,-3939.6,-1418.85,3009.9,-715.8,1169.34,-3681.15,437.55,5840.43,-2430.15,661.05,-731.57,1466.25,-126.9,415.03,-247.8,-49.05,172.55,-621.45,759.15,688.97,-4074.9,-93.0,-4972.62,441.15,-788.25,46.46,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:07:00.381448,-1351.05,11.25,-1749.66,50.4,-10.65,-543.53,256.5,-787.95,-1351.57,1990.65,3975.6,-4802.01,-569.25,220.05,-1043.75,2109.45,-482.55,-151.73,2840.25,-3932.1,-1408.44,3007.95,-726.15,1162.57,-3673.65,436.05,5846.96,-2429.25,654.0,-733.02,1466.1,-127.35,419.39,-241.05,-54.75,184.4,-621.6,757.95,678.81,-4065.75,-82.2,-4971.41,440.85,-789.75,46.71,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:07:00.629438,-1350.9,16.8,-1751.6,51.3,-4.65,-528.04,247.95,-788.1,-1348.18,1987.5,3977.4,-4814.35,-571.2,218.85,-1047.86,2112.0,-488.55,-143.51,2837.4,-3936.3,-1407.96,3003.9,-722.25,1164.02,-3676.2,436.95,5831.23,-2424.6,656.55,-736.41,1467.75,-124.2,411.88,-242.4,-48.3,179.56,-619.8,754.2,689.7,-4063.5,-87.6,-4961.24,441.3,-793.35,40.41,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:07:00.874135,-1355.25,9.6,-1753.77,53.7,-11.7,-533.13,252.15,-791.7,-1345.52,1986.15,3954.15,-4800.55,-572.4,215.55,-1045.92,2109.0,-482.25,-154.15,2839.8,-3939.9,-1419.33,3008.25,-722.85,1161.84,-3677.7,438.9,5827.84,-2430.3,653.7,-732.78,1464.9,-121.65,429.07,-241.8,-55.8,178.6,-614.25,754.5,677.84,-4066.35,-93.3,-4960.52,447.9,-788.25,39.69,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:07:01.117483,-1352.85,10.5,-1744.82,51.3,-5.55,-539.18,252.45,-788.25,-1345.76,1984.95,3968.55,-4808.3,-568.35,213.15,-1046.89,2110.35,-484.8,-139.88,2839.05,-3938.25,-1421.51,3008.85,-720.3,1154.34,-3677.1,442.8,5844.3,-2423.7,662.55,-733.5,1466.85,-128.1,429.07,-242.4,-49.65,184.89,-615.75,757.05,689.46,-4073.25,-88.2,-4961.73,441.15,-790.5,37.27,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:07:01.368619,-1351.65,9.45,-1762.73,57.6,2.7,-535.3,253.5,-788.7,-1347.46,1985.85,3976.95,-4814.59,-565.8,216.9,-1051.25,2107.65,-483.45,-142.3,2839.65,-3936.0,-1418.12,3002.25,-723.6,1162.57,-3677.85,436.65,5835.35,-2427.15,654.0,-739.79,1463.1,-129.15,423.5,-242.25,-52.2,177.63,-614.7,760.2,691.39,-4061.7,-92.55,-4966.57,443.85,-779.85,38.72,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0
15:07:01.615925,-1352.85,15.75,-1749.18,58.95,-3.75,-535.55,241.2,-786.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
